movie_id,title,cast,crew
tt15354916,Jawan,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Nayanthara""}, {""name"": ""Vijay Sethupathi""}, {""name"": ""Deepika Padukone""}]","[{""job"": ""Director"", ""name"": ""Atlee""}]"
tt15748830,Jaane Jaan,"[{""name"": ""Kareena Kapoor""}, {""name"": ""Jaideep Ahlawat""}, {""name"": ""Vijay Varma""}, {""name"": ""Saurabh Sachdeva""}]","[{""job"": ""Director"", ""name"": ""Sujoy Ghosh""}]"
tt11663228,Jailer,"[{""name"": ""Rajinikanth""}, {""name"": ""Mohanlal""}, {""name"": ""Shivarajkumar""}, {""name"": ""Jackie Shroff""}]","[{""job"": ""Director"", ""name"": ""Nelson Dilipkumar""}]"
tt14993250,Rocky Aur Rani Kii Prem Kahaani,"[{""name"": ""Ranveer Singh""}, {""name"": ""Alia Bhatt""}, {""name"": ""Dharmendra""}, {""name"": ""Shabana Azmi""}]","[{""job"": ""Director"", ""name"": ""Karan Johar""}]"
tt15732324,OMG 2,"[{""name"": ""Pankaj Tripathi""}, {""name"": ""Akshay Kumar""}, {""name"": ""Yami Gautam""}, {""name"": ""Pawan Malhotra""}]","[{""job"": ""Director"", ""name"": ""Amit Rai""}]"
tt18266472,Sukhee,"[{""name"": ""Shilpa Shetty Kundra""}, {""name"": ""Amit Sadh""}, {""name"": ""Chaitannya Choudhry""}, {""name"": ""Kusha Kapila""}]","[{""job"": ""Director"", ""name"": ""Sonal Joshi""}]"
tt18561736,The Great Indian Family,"[{""name"": ""Alka Amin""}, {""name"": ""Bhuvan Arora""}, {""name"": ""Manushi Chhillar""}, {""name"": ""Srishti Dixit""}]","[{""job"": ""Director"", ""name"": ""Vijay Krishna Acharya""}]"
tt3691740,The BFG,"[{""name"": ""Mark Rylance""}, {""name"": ""Ruby Barnhill""}, {""name"": ""Penelope Wilton""}, {""name"": ""Jemaine Clement""}]","[{""job"": ""Director"", ""name"": ""Steven Spielberg""}]"
tt12844910,Pathaan,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Deepika Padukone""}, {""name"": ""John Abraham""}, {""name"": ""Dimple Kapadia""}]","[{""job"": ""Director"", ""name"": ""Siddharth Anand""}]"
tt15464390,Mastaney,"[{""name"": ""Tarsem Jassar""}, {""name"": ""Simi Chahal""}, {""name"": ""Gurpreet Ghuggi""}, {""name"": ""Karamjit Anmol""}]","[{""job"": ""Director"", ""name"": ""Sharan Art""}]"
tt1187043,3 Idiots,"[{""name"": ""Aamir Khan""}, {""name"": ""Madhavan""}, {""name"": ""Mona Singh""}, {""name"": ""Sharman Joshi""}]","[{""job"": ""Director"", ""name"": ""Rajkumar Hirani""}]"
tt14914988,Satyaprem Ki Katha,"[{""name"": ""Kartik Aaryan""}, {""name"": ""Kiara Advani""}, {""name"": ""Supriya Pathak""}, {""name"": ""Gajraj Rao""}]","[{""job"": ""Director"", ""name"": ""Sameer Vidwans""}]"
tt3741834,Lion,"[{""name"": ""Dev Patel""}, {""name"": ""Nicole Kidman""}, {""name"": ""Rooney Mara""}, {""name"": ""Sunny Pawar""}]","[{""job"": ""Director"", ""name"": ""Garth Davis""}]"
tt13131610,Bholaa Shankar,"[{""name"": ""Chiranjeevi""}, {""name"": ""Tamannaah Bhatia""}, {""name"": ""Keerthy Suresh""}, {""name"": ""Raghu Babu""}]","[{""job"": ""Director"", ""name"": ""Meher Ramesh""}]"
tt22188452,Haddi,"[{""name"": ""Nawazuddin Siddiqui""}, {""name"": ""Anurag Kashyap""}, {""name"": ""Mohd. Zeeshan Ayyub""}, {""name"": ""Resh Lamba""}]","[{""job"": ""Director"", ""name"": ""Akshat Ajay Sharma""}]"
tt28568397,Friday Night Plan,"[{""name"": ""Babil Khan""}, {""name"": ""Amrith Jayan""}, {""name"": ""Medha Rana""}, {""name"": ""Aadhya Anand""}]","[{""job"": ""Director"", ""name"": ""Vatsal Neelakantan""}]"
tt21908676,Neeyat,"[{""name"": ""Vidya Balan""}, {""name"": ""Ram Kapoor""}, {""name"": ""Rahul Bose""}, {""name"": ""Neeraj Kabi""}]","[{""job"": ""Director"", ""name"": ""Anu Menon""}]"
tt15441054,Gadar 2,"[{""name"": ""Sunny Deol""}, {""name"": ""Amrish Puri""}, {""name"": ""Nana Patekar""}, {""name"": ""Ameesha Patel""}]","[{""job"": ""Director"", ""name"": ""Anil Sharma""}]"
tt27542289,Por Thozhil,"[{""name"": ""R. Sarathkumar""}, {""name"": ""Ashok Selvan""}, {""name"": ""Nikhila Vimal""}, {""name"": ""Sarath Babu""}]","[{""job"": ""Director"", ""name"": ""Vignesh Raja, T. Senthil Paramasivam""}]"
tt0454876,Life of Pi,"[{""name"": ""Suraj Sharma""}, {""name"": ""Irrfan Khan""}, {""name"": ""Adil Hussain""}, {""name"": ""Tabu""}]","[{""job"": ""Director"", ""name"": ""Ang Lee""}]"
tt0249371,Asoka,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Kareena Kapoor""}, {""name"": ""Danny Denzongpa""}, {""name"": ""Hrishitaa Bhatt""}]","[{""job"": ""Director"", ""name"": ""Santosh Sivan""}]"
tt0838221,The Darjeeling Limited,"[{""name"": ""Owen Wilson""}, {""name"": ""Adrien Brody""}, {""name"": ""Jason Schwartzman""}, {""name"": ""Amara Karan""}]","[{""job"": ""Director"", ""name"": ""Wes Anderson""}]"
tt5074352,Dangal,"[{""name"": ""Aamir Khan""}, {""name"": ""Sakshi Tanwar""}, {""name"": ""Fatima Sana Shaikh""}, {""name"": ""Sanya Malhotra""}]","[{""job"": ""Director"", ""name"": ""Nitesh Tiwari""}]"
tt8239946,Tumbbad,"[{""name"": ""Sohum Shah""}, {""name"": ""Jyoti Malshe""}, {""name"": ""Anita Date-Kelkar""}, {""name"": ""Ronjini Chakraborty""}]","[{""job"": ""Director"", ""name"": ""Rahi Anil Barve, Anand Gandhi, Adesh Prasad""}]"
tt15428134,Dunki,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Taapsee Pannu""}, {""name"": ""Boman Irani""}, {""name"": ""Vicky Kaushal""}]","[{""job"": ""Director"", ""name"": ""Rajkumar Hirani""}]"
tt24485052,Sirf Ek Bandaa Kaafi Hai,"[{""name"": ""Manoj Bajpayee""}, {""name"": ""Surya Mohan Kulshreshtha""}, {""name"": ""Jai Hind Kumar""}, {""name"": ""Nikhil Pandey""}]","[{""job"": ""Director"", ""name"": ""Apoorv Singh Karki""}]"
tt1954470,Gangs of Wasseypur,"[{""name"": ""Manoj Bajpayee""}, {""name"": ""Nawazuddin Siddiqui""}, {""name"": ""Tigmanshu Dhulia""}, {""name"": ""Richa Chadha""}]","[{""job"": ""Director"", ""name"": ""Anurag Kashyap""}]"
tt15433600,Khufiya,"[{""name"": ""Tabu""}, {""name"": ""Ali Fazal""}, {""name"": ""Wamiqa Gabbi""}, {""name"": ""Azmeri Haque Badhon""}]","[{""job"": ""Director"", ""name"": ""Vishal Bhardwaj""}]"
tt13751694,Animal,"[{""name"": ""Ranbir Kapoor""}, {""name"": ""Triptii Dimri""}, {""name"": ""Saurabh Sachdeva""}, {""name"": ""Anil Kapoor""}]","[{""job"": ""Director"", ""name"": ""Sandeep Reddy Vanga""}]"
tt15891388,Miss Shetty Mr Polishetty,"[{""name"": ""Keshav Deepak""}, {""name"": ""Abhinav Gomatam""}, {""name"": ""Jayasudha""}, {""name"": ""Koushik Mahata""}]","[{""job"": ""Director"", ""name"": ""Mahesh Babu P.""}]"
tt19755170,Bawaal,"[{""name"": ""Varun Dhawan""}, {""name"": ""Janhvi Kapoor""}, {""name"": ""Manoj Pahwa""}, {""name"": ""Anjuman Saxena""}]","[{""job"": ""Director"", ""name"": ""Nitesh Tiwari""}]"
tt6277462,Brahmastra Part One: Shiva,"[{""name"": ""Amitabh Bachchan""}, {""name"": ""Ranbir Kapoor""}, {""name"": ""Alia Bhatt""}, {""name"": ""Nagarjuna Akkineni""}]","[{""job"": ""Director"", ""name"": ""Ayan Mukerji""}]"
tt20913276,Ghoomer,"[{""name"": ""Amitabh Bachchan""}, {""name"": ""Shabana Azmi""}, {""name"": ""Abhishek Bachchan""}, {""name"": ""Saiyami Kher""}]","[{""job"": ""Director"", ""name"": ""R. Balki""}]"
tt18411490,Tiger 3,"[{""name"": ""Salman Khan""}, {""name"": ""Katrina Kaif""}]","[{""job"": ""Director"", ""name"": ""Maneesh Sharma""}]"
tt8672856,Tu Jhoothi Main Makkaar,"[{""name"": ""Ranbir Kapoor""}, {""name"": ""Shraddha Kapoor""}, {""name"": ""Krrish Saini""}, {""name"": ""Anubhav Singh Bassi""}]","[{""job"": ""Director"", ""name"": ""Luv Ranjan""}]"
tt15501640,Drishyam 2,"[{""name"": ""Ajay Devgn""}, {""name"": ""Akshaye Khanna""}, {""name"": ""Tabu""}, {""name"": ""Shriya Saran""}]","[{""job"": ""Director"", ""name"": ""Abhishek Pathak""}]"
tt0083987,Gandhi,"[{""name"": ""Ben Kingsley""}, {""name"": ""John Gielgud""}, {""name"": ""Rohini Hattangadi""}, {""name"": ""Roshan Seth""}]","[{""job"": ""Director"", ""name"": ""Richard Attenborough""}]"
tt2338151,PK,"[{""name"": ""Aamir Khan""}, {""name"": ""Anushka Sharma""}, {""name"": ""Sanjay Dutt""}, {""name"": ""Boman Irani""}]","[{""job"": ""Director"", ""name"": ""Rajkumar Hirani""}]"
tt1188996,My Name Is Khan,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Kajol""}, {""name"": ""Sheetal Menon""}, {""name"": ""Katie Amanda Keane""}]","[{""job"": ""Director"", ""name"": ""Karan Johar""}]"
tt3405236,Raees,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Jaideep Ahlawat""}, {""name"": ""Sunny Leone""}, {""name"": ""Nawazuddin Siddiqui""}]","[{""job"": ""Director"", ""name"": ""Rahul Dholakia""}]"
tt26324936,Rama Banam,"[{""name"": ""Gopichand""}, {""name"": ""Dimple Hayathi""}, {""name"": ""Jagapathi Babu""}, {""name"": ""Kushboo""}]","[{""job"": ""Director"", ""name"": ""Sriwass""}]"
tt8108198,Andhadhun,"[{""name"": ""Tabu""}, {""name"": ""Ayushmann Khurrana""}, {""name"": ""Radhika Apte""}, {""name"": ""Anil Dhawan""}]","[{""job"": ""Director"", ""name"": ""Sriram Raghavan""}]"
tt23036080,Thank You for Coming,"[{""name"": ""Bhumi Pednekar""}, {""name"": ""Dolly Ahluwalia""}, {""name"": ""Shibani Bedi""}, {""name"": ""Saloni Daini""}]","[{""job"": ""Director"", ""name"": ""Karan Boolani""}]"
tt22086334,Dream Girl 2,"[{""name"": ""Paresh Rawal""}, {""name"": ""Ananya Panday""}, {""name"": ""Ayushmann Khurrana""}, {""name"": ""Annu Kapoor""}]","[{""job"": ""Director"", ""name"": ""Raaj Shaandilyaa""}]"
tt15380630,Kushi,"[{""name"": ""Samantha Ruth Prabhu""}, {""name"": ""Vijay Deverakonda""}, {""name"": ""Lakshmi""}, {""name"": ""Murli Sharma""}]","[{""job"": ""Director"", ""name"": ""Shiva Nirvana""}]"
tt0986264,Taare Zameen Par,"[{""name"": ""Darsheel Safary""}, {""name"": ""Aamir Khan""}, {""name"": ""Tanay Chheda""}, {""name"": ""Sachet Engineer""}]","[{""job"": ""Director"", ""name"": ""Aamir Khan, Amole Gupte""}]"
tt4430212,Drishyam,"[{""name"": ""Ajay Devgn""}, {""name"": ""Shriya Saran""}, {""name"": ""Tabu""}, {""name"": ""Rajat Kapoor""}]","[{""job"": ""Director"", ""name"": ""Nishikant Kamat""}]"
tt22297828,Chor Nikal Ke Bhaga,"[{""name"": ""Yami Gautam""}, {""name"": ""Sunny Kaushal""}, {""name"": ""Sharad Kelkar""}, {""name"": ""Indraneil Sengupta""}]","[{""job"": ""Director"", ""name"": ""Ajay Singh""}]"
tt10083340,Gangubai Kathiawadi,"[{""name"": ""Alia Bhatt""}, {""name"": ""Shantanu Maheshwari""}, {""name"": ""Vijay Raaz""}, {""name"": ""Indira Tiwari""}]","[{""job"": ""Director"", ""name"": ""Sanjay Leela Bhansali""}]"
tt27012110,Gaslight,"[{""name"": ""Sara Ali Khan""}, {""name"": ""Vikrant Massey""}, {""name"": ""Chitrangda Singh""}, {""name"": ""Rahul Dev""}]","[{""job"": ""Director"", ""name"": ""Pavan Kirpalani""}]"
tt15245240,The Buckingham Murders,"[{""name"": ""Kareena Kapoor""}, {""name"": ""Keith Allen""}, {""name"": ""Haqi Ali""}, {""name"": ""Chris Wilson""}]","[{""job"": ""Director"", ""name"": ""Hansal Mehta""}]"
tt13818368,Fighter,"[{""name"": ""Hrithik Roshan""}, {""name"": ""Deepika Padukone""}, {""name"": ""Anil Kapoor""}, {""name"": ""Akarsh Alagh""}]","[{""job"": ""Director"", ""name"": ""Siddharth Anand""}]"
tt15302222,Bholaa,"[{""name"": ""Ajay Devgn""}, {""name"": ""Tabu""}, {""name"": ""Abhishek Bachchan""}, {""name"": ""Amala Paul""}]","[{""job"": ""Director"", ""name"": ""Ajay Devgn""}]"
tt1024943,Om Shanti Om,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Deepika Padukone""}, {""name"": ""Arjun Rampal""}, {""name"": ""Kirron Kher""}]","[{""job"": ""Director"", ""name"": ""Farah Khan""}]"
tt0248126,Kabhi Khushi Kabhie Gham...,"[{""name"": ""Shah Rukh Khan""}, {""name"": ""Kajol""}, {""name"": ""Amitabh Bachchan""}, {""name"": ""Hrithik Roshan""}]","[{""job"": ""Director"", ""name"": ""Karan Johar""}]"
tt24268454,The Kerala Story,"[{""name"": ""Adah Sharma""}, {""name"": ""Yogita Bihani""}, {""name"": ""Sonia Balani""}, {""name"": ""Siddhi Idnani""}]","[{""job"": ""Director"", ""name"": ""Sudipto Sen, Vipul Amrutlal Shah""}]"
tt13131350,Vikram Vedha,"[{""name"": ""Saif Ali Khan""}, {""name"": ""Hrithik Roshan""}, {""name"": ""Radhika Apte""}, {""name"": ""Rohit Saraf""}]","[{""job"": ""Director"", ""name"": ""Gayatri, Pushkar""}]"
tt0367110,"Swades: We, the People","[{""name"": ""Shah Rukh Khan""}, {""name"": ""Gayatri Joshi""}, {""name"": ""Kishori Ballal""}, {""name"": ""Smith Seth""}]","[{""job"": ""Director"", ""name"": ""Ashutosh Gowariker""}]"
tt3863552,Bajrangi Bhaijaan,"[{""name"": ""Salman Khan""}, {""name"": ""Harshaali Malhotra""}, {""name"": ""Nawazuddin Siddiqui""}, {""name"": ""Kareena Kapoor""}]","[{""job"": ""Director"", ""name"": ""Kabir Khan, Mehmet Tutkun""}]"
tt27501039,Bloody Daddy,"[{""name"": ""Shahid Kapoor""}, {""name"": ""Vivan Bhatena""}, {""name"": ""Diana Penty""}, {""name"": ""Ronit Roy""}]","[{""job"": ""Director"", ""name"": ""Ali Abbas Zafar""}]"
tt2980648,The Hundred-Foot Journey,"[{""name"": ""Helen Mirren""}, {""name"": ""Om Puri""}, {""name"": ""Manish Dayal""}, {""name"": ""Charlotte Le Bon""}]","[{""job"": ""Director"", ""name"": ""Lasse Hallstr\u00f6m""}]"
tt10811166,The Kashmir Files,"[{""name"": ""Mithun Chakraborty""}, {""name"": ""Anupam Kher""}, {""name"": ""Darshan Kumaar""}, {""name"": ""Pallavi Joshi""}]","[{""job"": ""Director"", ""name"": ""Vivek Agnihotri""}]"
