id,title,overview,genres,release_date,budget,revenue,runtime,original_language,popularity,vote_average,vote_count,status,tagline,homepage,keywords,production_companies,production_countries,spoken_languages
tt15354916,Jawan,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,"[{""name"": ""Action""}, {""name"": ""Thriller""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt15748830,Jaane Jaan,A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,"[{""name"": ""Crime""}, {""name"": ""Drama""}, {""name"": ""Mystery""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt11663228,Jailer,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Crime""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt14993250,Rocky Aur Rani Kii Prem Kahaani,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Family""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt15732324,OMG 2,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt18266472,Sukhee,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.","[{""name"": ""Drama""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt18561736,The Great Indian Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.","[{""name"": ""Family""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3691740,The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","[{""name"": ""Adventure""}, {""name"": ""Family""}, {""name"": ""Fantasy""}]",2016-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt12844910,Pathaan,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Thriller""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt15464390,Mastaney,"Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""History""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
